ts_utc,game_id,game_name,viewers,channels,avg_viewers,median_viewers,top1_viewers,top1_share,viewers_hors_top3,channels_hors_top3,avg_hors_top3,channels_lt10
2026-09-15T00:12:34+00:00,32982,Grand Theft Auto V,14482,262,55.3,4.0,2366,0.163,9862,259,38.1,176
2026-09-15T00:12:34+00:00,75101830,Marvel's Wolverine,8934,64,139.6,2.0,7403,0.829,503,61,8.2,57
2026-09-15T00:12:34+00:00,509658,Just Chatting,7821,143,54.7,7,1295,0.166,5345,140,38.2,80
2026-09-15T00:12:34+00:00,743893402,WARDOGS,4701,77,61.1,2,3718,0.791,672,74,9.1,57
2026-09-15T00:12:34+00:00,21779,League of Legends,4681,105,44.6,3,924,0.197,2127,102,20.9,76
2026-09-15T00:12:34+00:00,516575,VALORANT,4143,192,21.6,2.0,1350,0.326,1803,189,9.5,163
2026-09-15T00:12:34+00:00,1898040946,How to Fish,3432,3,1144.0,3,3428,0.999,0,0,0,2
2026-09-15T00:12:34+00:00,33214,Fortnite,2775,108,25.7,1.0,2028,0.731,426,105,4.1,98
2026-09-15T00:12:34+00:00,30921,Rocket League,2524,51,49.5,1,2410,0.955,87,48,1.8,48
2026-09-15T00:12:34+00:00,0,Sans catégorie,2453,63,38.9,1,2287,0.932,88,60,1.5,60
2026-09-15T00:12:34+00:00,1661671460,Rehaunted,2149,4,537.2,2.0,2144,0.998,1,1,1.0,3
2026-09-15T00:12:34+00:00,602040818,NBA 2K27,1584,11,144.0,2,1407,0.888,14,8,1.8,9
2026-09-15T00:12:34+00:00,210472759,Shift at Midnight,1411,2,705.5,705.5,1410,0.999,0,0,0,1
2026-09-15T00:12:34+00:00,1763263,nanos world,1184,30,39.5,5.5,385,0.325,522,27,19.3,17
2026-09-15T00:12:34+00:00,518184,Phasmophobia,1123,12,93.6,5.0,1040,0.926,38,9,4.2,8
2026-09-15T00:12:34+00:00,512710,Call of Duty: Warzone,1070,61,17.5,1,611,0.571,170,58,2.9,55
2026-09-15T00:12:34+00:00,508455,Valheim,1032,37,27.9,4,673,0.652,222,34,6.5,27
2026-09-15T00:12:34+00:00,490744,Stardew Valley,1015,2,507.5,507.5,1012,0.997,0,0,0,1
2026-09-15T00:12:34+00:00,509672,IRL,872,10,87.2,12.5,496,0.569,74,7,10.6,4
2026-09-15T00:12:34+00:00,513143,Teamfight Tactics,847,14,60.5,8.0,293,0.346,180,11,16.4,7
2026-09-15T00:12:34+00:00,499973,Always On,778,21,37.0,2,320,0.411,185,18,10.3,15
2026-09-15T00:12:34+00:00,1669431183,DJs,691,5,138.2,19,486,0.703,20,2,10.0,1
2026-09-15T00:12:34+00:00,498566,Slots,644,6,107.3,64.5,252,0.391,45,3,15.0,1
2026-09-15T00:12:34+00:00,263490,Rust,571,4,142.8,34.0,502,0.879,1,1,1.0,2
2026-09-15T00:12:34+00:00,32399,Counter-Strike,553,22,25.1,3.0,340,0.615,78,19,4.1,17
2026-09-15T00:12:34+00:00,512998,The Legend of Zelda: Tears of the Kingdom,522,4,130.5,84.0,353,0.676,1,1,1.0,2
2026-09-15T00:12:34+00:00,18122,World of Warcraft,500,30,16.7,4.0,196,0.392,194,27,7.2,21
2026-09-15T00:12:34+00:00,509663,Special Events,483,7,69.0,4,423,0.876,9,4,2.2,4
