ts_utc,game_id,game_name,viewers,channels,avg_viewers,median_viewers,top1_viewers,top1_share,viewers_hors_top3,channels_hors_top3,avg_hors_top3,channels_lt10
2026-09-19T00:12:34+00:00,32982,Grand Theft Auto V,31779,322,98.7,4.0,14441,0.454,11672,319,36.6,227
2026-09-19T00:12:34+00:00,123184772,EA Sports FC 27,8402,203,41.4,1,5079,0.604,2150,200,10.8,177
2026-09-19T00:12:34+00:00,509658,Just Chatting,8010,151,53.0,6,1598,0.2,4572,148,30.9,87
2026-09-19T00:12:34+00:00,516575,VALORANT,6220,256,24.3,2.0,3269,0.526,1889,253,7.5,228
2026-09-19T00:12:34+00:00,743893402,WARDOGS,5918,97,61.0,2,4123,0.697,1072,94,11.4,78
2026-09-19T00:12:34+00:00,30921,Rocket League,5184,73,71.0,1,3168,0.611,310,70,4.4,69
2026-09-19T00:12:34+00:00,1763263,nanos world,5168,36,143.6,6.5,2838,0.549,913,33,27.7,21
2026-09-19T00:12:34+00:00,509672,IRL,5013,12,417.8,33.5,3166,0.632,251,9,27.9,5
2026-09-19T00:12:34+00:00,21779,League of Legends,4475,95,47.1,3,1564,0.349,1482,92,16.1,73
2026-09-19T00:12:34+00:00,27471,Minecraft,3676,67,54.9,2,2914,0.793,427,64,6.7,53
2026-09-19T00:12:34+00:00,75101830,Marvel's Wolverine,2001,38,52.7,1.5,632,0.316,502,35,14.3,32
2026-09-19T00:12:34+00:00,491962037,Big Ambitions,1953,2,976.5,976.5,1937,0.992,0,0,0,0
2026-09-19T00:12:34+00:00,513143,Teamfight Tactics,1871,18,103.9,8.5,662,0.354,415,15,27.7,9
2026-09-19T00:12:34+00:00,1642629214,lily's world XD,1662,1,1662.0,1662,1662,1.0,0,0,0,0
2026-09-19T00:12:34+00:00,512710,Call of Duty: Warzone,1538,71,21.7,2,615,0.4,510,68,7.5,56
2026-09-19T00:12:34+00:00,1267582829,Aniimo,1211,134,9.0,2.0,203,0.168,775,131,5.9,114
2026-09-19T00:12:34+00:00,499973,Always On,1002,21,47.7,2,481,0.48,213,18,11.8,14
2026-09-19T00:12:34+00:00,417892,Z1: Battle Royale,964,27,35.7,2,743,0.771,92,24,3.8,22
2026-09-19T00:12:34+00:00,490744,Stardew Valley,841,3,280.3,3,836,0.994,0,0,0,2
2026-09-19T00:12:34+00:00,505045,DOFUS Touch,840,4,210.0,123.0,580,0.69,14,1,14.0,0
2026-09-19T00:12:34+00:00,490377,Sea of Thieves,799,15,53.3,14,590,0.738,103,12,8.6,7
2026-09-19T00:12:34+00:00,2012789438,Call of Duty: Black Ops 7,737,23,32.0,1,489,0.664,104,20,5.2,18
2026-09-19T00:12:34+00:00,17828,The Legend of Zelda: Twilight Princess,697,4,174.2,4.0,687,0.986,2,1,2.0,3
2026-09-19T00:12:34+00:00,33214,Fortnite,681,145,4.7,1,189,0.278,316,142,2.2,136
2026-09-19T00:12:34+00:00,771448419,Aion 2,668,35,19.1,2,462,0.692,109,32,3.4,30
2026-09-19T00:12:34+00:00,509663,Special Events,652,14,46.6,10.0,285,0.437,110,11,10.0,7
2026-09-19T00:12:34+00:00,18122,World of Warcraft,622,56,11.1,3.0,157,0.252,274,53,5.2,45
2026-09-19T00:12:34+00:00,518203,Sports,602,3,200.7,68,480,0.797,0,0,0,0
2026-09-19T00:12:34+00:00,27284,Retro,544,13,41.8,15,246,0.452,118,10,11.8,6
2026-09-19T00:12:34+00:00,511224,Apex Legends,517,38,13.6,1.5,235,0.455,109,35,3.1,32
2026-09-19T00:12:34+00:00,498566,Slots,507,4,126.8,138.5,224,0.442,6,1,6.0,1
2026-09-19T00:12:34+00:00,1050003477,The Elder Scrolls V: Skyrim - Special Edition,425,12,35.4,7.0,155,0.365,47,9,5.2,8
2026-09-19T00:12:34+00:00,65632,DayZ,393,7,56.1,16,332,0.845,20,4,5.0,3
2026-09-19T00:12:34+00:00,1357871551,The Blood of Dawnwalker,386,20,19.3,2.0,307,0.795,43,17,2.5,16
2026-09-19T00:12:34+00:00,18846,Garry's Mod,381,13,29.3,13,102,0.268,152,10,15.2,6
2026-09-19T00:12:34+00:00,498592,I'm Only Sleeping,376,5,75.2,7,349,0.928,2,2,1.0,3
2026-09-19T00:12:34+00:00,515025,Overwatch,373,55,6.8,3,130,0.349,189,52,3.6,49
2026-09-19T00:12:34+00:00,491487,Dead by Daylight,329,39,8.4,4,81,0.246,204,36,5.7,29
2026-09-19T00:12:34+00:00,508455,Valheim,297,35,8.5,3,66,0.222,137,32,4.3,27
2026-09-19T00:12:34+00:00,138585,Hearthstone,294,5,58.8,1,289,0.983,2,2,1.0,4
2026-09-19T00:12:34+00:00,0,Sans catégorie,281,68,4.1,1.0,89,0.317,124,65,1.9,62
2026-09-19T00:12:34+00:00,1959325619,Spiritus Sancti,249,1,249.0,249,249,1.0,0,0,0,0
2026-09-19T00:12:34+00:00,31339,Project Zomboid,249,11,22.6,14,72,0.289,85,8,10.6,5
2026-09-19T00:12:34+00:00,263490,Rust,238,10,23.8,5.0,113,0.475,25,7,3.6,6
2026-09-19T00:12:34+00:00,493959,Red Dead Redemption II,232,19,12.2,2,170,0.733,39,16,2.4,17
2026-09-19T00:12:34+00:00,515024,Diablo IV,221,22,10.0,1.0,110,0.498,62,19,3.3,16
2026-09-19T00:12:34+00:00,494558,Uncharted: The Lost Legacy,220,1,220.0,220,220,1.0,0,0,0,0
2026-09-19T00:12:34+00:00,20596,Dofus,218,9,24.2,11,104,0.477,48,6,8.0,3
2026-09-19T00:12:34+00:00,26936,Music,200,13,15.4,1,113,0.565,28,10,2.8,10
2026-09-19T00:12:34+00:00,491931,Escape from Tarkov,199,6,33.2,3.0,180,0.905,4,3,1.3,4
2026-09-19T00:12:34+00:00,417752,Talk Shows & Podcasts,196,7,28.0,2,145,0.74,5,4,1.2,4
2026-09-19T00:12:34+00:00,32399,Counter-Strike,186,25,7.4,4,33,0.177,99,22,4.5,20
2026-09-19T00:12:34+00:00,518184,Phasmophobia,182,18,10.1,3.0,66,0.363,58,15,3.9,13
2026-09-19T00:12:34+00:00,570615518,Resonance: A Plague Tale Legacy,161,4,40.2,10.5,139,0.863,1,1,1.0,2
2026-09-19T00:12:34+00:00,509660,Art,152,11,13.8,10,57,0.375,57,8,7.1,5
2026-09-19T00:12:34+00:00,1597660489,RESIDENT EVIL: requiem,143,3,47.7,37,104,0.727,0,0,0,1
2026-09-19T00:12:34+00:00,1669431183,DJs,132,5,26.4,9,80,0.606,7,2,3.5,3
2026-09-19T00:12:34+00:00,1494,Call of Duty,131,94,1.4,1.0,15,0.115,103,91,1.1,93
2026-09-19T00:12:34+00:00,912920744,MONSTER HUNTER STORIES 3: TWISTED REFLECTION,122,1,122.0,122,122,1.0,0,0,0,0
2026-09-19T00:12:34+00:00,489111,Summoners War: Sky Arena,121,2,60.5,60.5,120,0.992,0,0,0,1
2026-09-19T00:12:34+00:00,500188,Hunt: Showdown 1896,117,16,7.3,4.0,34,0.291,51,13,3.9,12
2026-09-19T00:12:34+00:00,490655,Pokémon GO,116,3,38.7,55,60,0.517,0,0,0,1
2026-09-19T00:12:34+00:00,417528,Albion Online,116,8,14.5,5.5,42,0.362,16,5,3.2,5
2026-09-19T00:12:34+00:00,24241,FINAL FANTASY XIV ONLINE,113,11,10.3,6,34,0.301,41,8,5.1,6
2026-09-19T00:12:34+00:00,779192097,Fire Emblem: Fortune's Weave,111,16,6.9,3.5,21,0.189,57,13,4.4,12
2026-09-19T00:12:34+00:00,401587136,Arena Breakout: Infinite,108,6,18.0,5.0,75,0.694,6,3,2.0,4
2026-09-19T00:12:34+00:00,509659,ASMR,107,3,35.7,16,89,0.832,0,0,0,1
2026-09-19T00:12:34+00:00,1414860634,The Binding of Isaac: Repentance,107,5,21.4,10,68,0.636,2,2,1.0,2
2026-09-19T00:12:34+00:00,1945673289,The Mortuary Assistant,101,1,101.0,101,101,1.0,0,0,0,0
2026-09-19T00:12:34+00:00,71375,Star Citizen,100,6,16.7,4.0,79,0.79,5,3,1.7,4
2026-09-19T00:42:36+00:00,32982,Grand Theft Auto V,29940,278,107.7,4.0,14880,0.497,10889,275,39.6,190
2026-09-19T00:42:36+00:00,509658,Just Chatting,7288,150,48.6,8.0,1245,0.171,4211,147,28.6,80
2026-09-19T00:42:36+00:00,1763263,nanos world,5515,29,190.2,11,2688,0.487,895,26,34.4,14
2026-09-19T00:42:36+00:00,743893402,WARDOGS,5158,84,61.4,2.0,3816,0.74,680,81,8.4,69
2026-09-19T00:42:36+00:00,123184772,EA Sports FC 27,4960,177,28.0,1,1912,0.385,2309,174,13.3,156
