ts_utc,game_id,game_name,viewers,channels,avg_viewers,median_viewers,top1_viewers,top1_share,viewers_hors_top3,channels_hors_top3,avg_hors_top3,channels_lt10
2026-09-07T01:18:04+00:00,509658,Just Chatting,12961,103,125.8,10,3895,0.301,5660,100,56.6,50
2026-09-07T01:18:04+00:00,32982,Grand Theft Auto V,9699,155,62.6,6,2604,0.268,5245,152,34.5,91
2026-09-07T01:18:04+00:00,509663,Special Events,2933,9,325.9,27,2342,0.798,113,6,18.8,3
2026-09-07T01:18:04+00:00,30921,Rocket League,2416,43,56.2,2,2213,0.916,108,40,2.7,38
2026-09-07T01:18:04+00:00,21779,League of Legends,2019,75,26.9,3,557,0.276,1049,72,14.6,51
2026-09-07T01:18:04+00:00,516575,VALORANT,1935,121,16.0,2,385,0.199,937,118,7.9,98
2026-09-07T01:18:04+00:00,499973,Always On,1787,22,81.2,3.0,1280,0.716,144,19,7.6,15
2026-09-07T01:18:04+00:00,509672,IRL,1404,12,117.0,10.0,680,0.484,130,9,14.4,6
2026-09-07T01:18:04+00:00,1820839024,MECCHA CHAMELEON,990,4,247.5,86.0,816,0.824,2,1,2.0,2
2026-09-07T01:18:04+00:00,327598602,Onimusha: Way of the Sword,819,21,39.0,1,587,0.717,122,18,6.8,13
2026-09-07T01:18:04+00:00,1763263,nanos world,606,4,151.5,119.0,350,0.578,18,1,18.0,0
2026-09-07T01:18:04+00:00,18846,Garry's Mod,519,7,74.1,54,148,0.285,97,4,24.2,2
2026-09-07T01:18:04+00:00,498566,Slots,507,3,169.0,243,263,0.519,0,0,0,1
2026-09-07T01:18:04+00:00,921298138,BOMBANANA!,421,2,210.5,210.5,315,0.748,0,0,0,0
2026-09-07T01:18:04+00:00,512710,Call of Duty: Warzone,414,40,10.3,1.0,144,0.348,107,37,2.9,35
2026-09-07T01:18:04+00:00,513143,Teamfight Tactics,381,10,38.1,7.0,327,0.858,30,7,4.3,8
2026-09-07T01:18:04+00:00,138585,Hearthstone,341,3,113.7,6,332,0.974,0,0,0,2
2026-09-07T01:18:04+00:00,1357871551,The Blood of Dawnwalker,303,24,12.6,2.0,169,0.558,46,21,2.2,20
2026-09-07T01:18:04+00:00,272263131,"Animals, Aquariums, and Zoos",297,6,49.5,1.0,292,0.983,3,3,1.0,5
2026-09-07T01:18:04+00:00,624536948,EA Sports FC 26,284,19,14.9,3,100,0.352,75,16,4.7,13
2026-09-07T01:18:04+00:00,20596,Dofus,282,15,18.8,7,134,0.475,72,12,6.0,10
2026-09-07T01:18:04+00:00,490377,Sea of Thieves,265,8,33.1,7.5,194,0.732,19,5,3.8,4
2026-09-07T01:18:04+00:00,0,Sans catégorie,250,54,4.6,1.0,88,0.352,67,51,1.3,50
2026-09-07T01:18:04+00:00,570615518,Resonance: A Plague Tale Legacy,238,5,47.6,1,226,0.95,2,2,1.0,4
2026-09-07T01:18:04+00:00,518584827,NHL 27,228,19,12.0,1,157,0.689,23,16,1.4,17
2026-09-07T01:18:04+00:00,18122,World of Warcraft,219,23,9.5,5,42,0.192,125,20,6.2,14
2026-09-07T01:18:04+00:00,669337588,Microsoft Flight Simulator 2024,200,2,100.0,100.0,199,0.995,0,0,0,1
2026-09-07T01:18:04+00:00,1414860634,The Binding of Isaac: Repentance,190,4,47.5,5.0,179,0.942,1,1,1.0,3
2026-09-07T01:18:04+00:00,33214,Fortnite,170,68,2.5,1.0,46,0.271,111,65,1.7,67
2026-09-07T01:18:04+00:00,32399,Counter-Strike,162,20,8.1,2.0,113,0.698,35,17,2.1,19
2026-09-07T01:18:04+00:00,1282866981,Delta Force,153,3,51.0,25,123,0.804,0,0,0,1
2026-09-07T01:18:04+00:00,491487,Dead by Daylight,150,27,5.6,3,32,0.213,86,24,3.6,23
2026-09-07T01:18:04+00:00,490655,Pokémon GO,137,4,34.2,33.5,55,0.401,15,1,15.0,0
2026-09-07T01:18:04+00:00,515025,Overwatch,130,24,5.4,2.0,36,0.277,56,21,2.7,21
2026-09-07T01:18:04+00:00,512980,Fall Guys,127,3,42.3,1,125,0.984,0,0,0,2
2026-09-07T01:18:04+00:00,417752,Talk Shows & Podcasts,116,7,16.6,8,47,0.405,13,4,3.2,4
2026-09-07T01:18:04+00:00,27471,Minecraft,116,28,4.1,2.0,28,0.241,59,25,2.4,25
2026-09-07T01:18:04+00:00,494995,Injustice 2,112,1,112.0,112,112,1.0,0,0,0,0
2026-09-07T01:18:04+00:00,27284,Retro,112,10,11.2,2.5,49,0.438,13,7,1.9,8
2026-09-07T01:18:04+00:00,491168,Clash Royale,101,1,101.0,101,101,1.0,0,0,0,0
