ts_utc,game_id,game_name,viewers,channels,avg_viewers,median_viewers,top1_viewers,top1_share,viewers_hors_top3,channels_hors_top3,avg_hors_top3,channels_lt10
2026-09-17T00:12:35+00:00,30921,Rocket League,18317,58,315.8,2.0,10215,0.558,1430,55,26.0,50
2026-09-17T00:12:35+00:00,509658,Just Chatting,18071,150,120.5,7.0,7909,0.438,6683,147,45.5,81
2026-09-17T00:12:35+00:00,32982,Grand Theft Auto V,13916,289,48.2,4,1934,0.139,9830,286,34.4,188
2026-09-17T00:12:35+00:00,516575,VALORANT,9592,202,47.5,2.0,5946,0.62,2010,199,10.1,173
2026-09-17T00:12:35+00:00,123184772,EA Sports FC 27,8854,12,737.8,55.0,4345,0.491,433,9,48.1,2
2026-09-17T00:12:35+00:00,75101830,Marvel's Wolverine,7448,66,112.8,1.0,6685,0.898,318,63,5.0,55
2026-09-17T00:12:35+00:00,743893402,WARDOGS,5141,87,59.1,3,3551,0.691,895,84,10.7,65
2026-09-17T00:12:35+00:00,1267582829,Aniimo,2601,190,13.7,2.0,362,0.139,1768,187,9.5,148
2026-09-17T00:12:35+00:00,27471,Minecraft,2558,47,54.4,2,1836,0.718,164,44,3.7,41
2026-09-17T00:12:35+00:00,21779,League of Legends,2269,79,28.7,3,414,0.182,1278,76,16.8,57
2026-09-17T00:12:35+00:00,1763263,nanos world,2217,35,63.3,2,1476,0.666,495,32,15.5,23
2026-09-17T00:12:35+00:00,505045,DOFUS Touch,1460,8,182.5,27.0,725,0.497,63,5,12.6,4
2026-09-17T00:12:35+00:00,490744,Stardew Valley,1155,2,577.5,577.5,1154,0.999,0,0,0,1
2026-09-17T00:12:35+00:00,490292,DARK SOULS III,1073,2,536.5,536.5,1072,0.999,0,0,0,1
2026-09-17T00:12:35+00:00,509672,IRL,1053,14,75.2,13.0,760,0.722,150,11,13.6,4
2026-09-17T00:12:35+00:00,512710,Call of Duty: Warzone,947,76,12.5,2.0,242,0.256,471,73,6.5,66
2026-09-17T00:12:35+00:00,508455,Valheim,850,30,28.3,2.0,603,0.709,114,27,4.2,25
2026-09-17T00:12:35+00:00,499973,Always On,843,22,38.3,2.5,463,0.549,129,19,6.8,16
2026-09-17T00:12:35+00:00,417892,Z1: Battle Royale,781,17,45.9,3,380,0.487,84,14,6.0,12
2026-09-17T00:12:35+00:00,498566,Slots,686,5,137.2,75,272,0.397,88,2,44.0,0
2026-09-17T00:12:35+00:00,1669431183,DJs,641,9,71.2,10,482,0.752,51,6,8.5,4
2026-09-17T00:12:35+00:00,743,Chess,639,2,319.5,319.5,629,0.984,0,0,0,0
2026-09-17T00:12:35+00:00,17828,The Legend of Zelda: Twilight Princess,619,4,154.8,3.5,610,0.985,2,1,2.0,3
2026-09-17T00:12:35+00:00,509663,Special Events,539,9,59.9,14,346,0.642,57,6,9.5,4
2026-09-17T00:12:35+00:00,138585,Hearthstone,422,3,140.7,15,401,0.95,0,0,0,1
2026-09-17T00:12:35+00:00,513143,Teamfight Tactics,402,11,36.5,3,352,0.876,18,8,2.2,9
2026-09-17T00:12:35+00:00,18122,World of Warcraft,363,37,9.8,3,152,0.419,158,34,4.6,30
2026-09-17T00:12:35+00:00,490377,Sea of Thieves,336,13,25.8,3,232,0.69,36,10,3.6,9
2026-09-17T00:12:35+00:00,18846,Garry's Mod,316,15,21.1,14,98,0.31,130,12,10.8,6
2026-09-17T00:12:35+00:00,33214,Fortnite,294,82,3.6,1.0,48,0.163,180,79,2.3,76
2026-09-17T00:12:35+00:00,27284,Retro,273,13,21.0,9,90,0.33,78,10,7.8,7
2026-09-17T00:12:35+00:00,491487,Dead by Daylight,266,33,8.1,4,61,0.229,144,30,4.8,26
2026-09-17T00:12:35+00:00,20596,Dofus,255,13,19.6,9,68,0.267,79,10,7.9,7
2026-09-17T00:12:35+00:00,1050003477,The Elder Scrolls V: Skyrim - Special Edition,253,15,16.9,6,125,0.494,72,12,6.0,9
2026-09-17T00:12:35+00:00,24241,FINAL FANTASY XIV ONLINE,243,8,30.4,5.0,196,0.807,15,5,3.0,5
2026-09-17T00:12:35+00:00,515025,Overwatch,215,33,6.5,4,40,0.186,126,30,4.2,28
2026-09-17T00:12:35+00:00,98473926,Megabonk,211,2,105.5,105.5,207,0.981,0,0,0,1
2026-09-17T00:12:35+00:00,1187644755,[Nightmare Files] Clap Clap,209,1,209.0,209,209,1.0,0,0,0,0
2026-09-17T00:12:35+00:00,624536948,EA Sports FC 26,205,35,5.9,1,126,0.615,51,32,1.6,32
2026-09-17T00:12:35+00:00,902998079,Halloween: The Game,188,16,11.8,3.0,121,0.644,37,13,2.8,14
2026-09-17T00:12:35+00:00,493959,Red Dead Redemption II,187,15,12.5,2,136,0.727,28,12,2.3,13
2026-09-17T00:12:35+00:00,65632,DayZ,177,10,17.7,1.5,154,0.87,9,7,1.3,8
2026-09-17T00:12:35+00:00,509660,Art,176,15,11.7,9,48,0.273,75,12,6.2,9
2026-09-17T00:12:35+00:00,489401,Call of Duty: Black Ops III,175,4,43.8,1.5,171,0.977,1,1,1.0,3
2026-09-17T00:12:35+00:00,401587136,Arena Breakout: Infinite,172,12,14.3,3.5,107,0.622,23,9,2.6,9
2026-09-17T00:12:35+00:00,2748,Magic: The Gathering,168,2,84.0,84.0,162,0.964,0,0,0,1
2026-09-17T00:12:35+00:00,506415, SEKIRO: SHADOWS DIE TWICE,164,3,54.7,10,145,0.884,0,0,0,1
2026-09-17T00:12:35+00:00,498592,I'm Only Sleeping,161,4,40.2,7.5,145,0.901,1,1,1.0,2
2026-09-17T00:12:35+00:00,11557,The Legend of Zelda: Ocarina of Time,156,7,22.3,3,91,0.583,6,4,1.5,5
2026-09-17T00:12:35+00:00,515024,Diablo IV,153,30,5.1,1.0,25,0.163,85,27,3.1,25
2026-09-17T00:12:35+00:00,511224,Apex Legends,143,44,3.2,1.0,18,0.126,92,41,2.2,39
2026-09-17T00:12:35+00:00,460630,Rainbow Six Siege,137,30,4.6,3.0,21,0.153,88,27,3.3,26
